system,threshold,folder,video_file,gt,prediction
ResNet_DFD_Obsah025,0.0,Fake,DFL_1_HQ.mp4,1,1
ResNet_DFD_Obsah025,0.0,Fake,DFL_1_LQ.mp4,1,1
ResNet_DFD_Obsah025,0.0,Fake,DFL_2_HQ.mp4,1,1
ResNet_DFD_Obsah025,0.0,Fake,DFL_2_LQ.mp4,1,1
ResNet_DFD_Obsah025,0.0,Fake,DFL_3_HQ.mp4,1,1
ResNet_DFD_Obsah025,0.0,Fake,DFL_3_LQ.mp4,1,1
ResNet_DFD_Obsah025,0.0,Fake,DFL_4_HQ.mp4,1,1
ResNet_DFD_Obsah025,0.0,Fake,DFL_4_LQ.mp4,1,1
ResNet_DFD_Obsah025,0.0,Fake,DFL_5_HQ.mp4,1,1
ResNet_DFD_Obsah025,0.0,Fake,DFL_5_LQ.mp4,1,1
ResNet_DFD_Obsah025,0.0,Fake,FS_1_HQ.mp4,1,1
ResNet_DFD_Obsah025,0.0,Fake,FS_1_LQ.mp4,1,1
ResNet_DFD_Obsah025,0.0,Fake,FS_2_HQ.mp4,1,1
ResNet_DFD_Obsah025,0.0,Fake,FS_2_LQ.mp4,1,1
ResNet_DFD_Obsah025,0.0,Fake,FS_3_HQ.mp4,1,1
ResNet_DFD_Obsah025,0.0,Fake,FS_3_LQ.mp4,1,1
ResNet_DFD_Obsah025,0.0,Fake,FS_4_HQ.mp4,1,1
ResNet_DFD_Obsah025,0.0,Fake,FS_4_LQ.mp4,1,1
ResNet_DFD_Obsah025,0.0,Fake,FS_5_HQ.mp4,1,1
ResNet_DFD_Obsah025,0.0,Fake,FS_5_LQ.mp4,1,0
ResNet_DFD_Obsah025,0.0,Fake,RU_1.mp4,1,1
ResNet_DFD_Obsah025,0.0,Fake,RU_2.mp4,1,1
ResNet_DFD_Obsah025,0.0,Fake,RU_3.mp4,1,1
ResNet_DFD_Obsah025,0.0,Fake,RU_4.mp4,1,1
ResNet_DFD_Obsah025,0.0,Fake,RU_5.mp4,1,0
ResNet_DFD_Obsah025,0.0,Foreign,900.mp4,0,1
ResNet_DFD_Obsah025,0.0,Foreign,901.mp4,0,1
ResNet_DFD_Obsah025,0.0,Foreign,902.mp4,0,1
ResNet_DFD_Obsah025,0.0,Foreign,903.mp4,0,1
ResNet_DFD_Obsah025,0.0,Foreign,904.mp4,0,0
ResNet_DFD_Obsah025,0.0,Foreign,905.mp4,0,1
ResNet_DFD_Obsah025,0.0,Foreign,906.mp4,0,1
ResNet_DFD_Obsah025,0.0,Foreign,907.mp4,0,1
ResNet_DFD_Obsah025,0.0,Foreign,908.mp4,0,1
ResNet_DFD_Obsah025,0.0,Foreign,909.mp4,0,1
ResNet_DFD_Obsah025,0.0,Foreign,910.mp4,0,1
ResNet_DFD_Obsah025,0.0,Foreign,911.mp4,0,1
ResNet_DFD_Obsah025,0.0,Foreign,912.mp4,0,1
ResNet_DFD_Obsah025,0.0,Foreign,913.mp4,0,1
ResNet_DFD_Obsah025,0.0,Foreign,914.mp4,0,1
ResNet_DFD_Obsah025,0.0,Foreign,915.mp4,0,1
ResNet_DFD_Obsah025,0.0,Foreign,916.mp4,0,1
ResNet_DFD_Obsah025,0.0,Foreign,917.mp4,0,1
ResNet_DFD_Obsah025,0.0,Foreign,918.mp4,0,1
ResNet_DFD_Obsah025,0.0,Foreign,919.mp4,0,1
ResNet_DFD_Obsah025,0.0,Foreign,920.mp4,0,1
ResNet_DFD_Obsah025,0.0,Foreign,921.mp4,0,1
ResNet_DFD_Obsah025,0.0,Foreign,922.mp4,0,1
ResNet_DFD_Obsah025,0.0,Foreign,923.mp4,0,1
ResNet_DFD_Obsah025,0.0,Foreign,924.mp4,0,0
ResNet_DFD_Obsah025,0.0,Original,id3_0004.mp4,0,1
ResNet_DFD_Obsah025,0.0,Original,id4_0002.mp4,0,1
ResNet_DFD_Obsah025,0.0,Original,id53_0000.mp4,0,1
ResNet_DFD_Obsah025,0.0,Original,id54_0005.mp4,0,1
ResNet_DFD_Obsah025,0.0,Original,id56_0003.mp4,0,1
ResNet_DFD_Obsah025,0.0,Original,id5_0001.mp4,0,1
ResNet_DFD_Obsah025,0.0,Original,id60_0003.mp4,0,1
ResNet_DFD_Obsah025,0.0,Original,id6_0000.mp4,0,1
ResNet_DFD_Obsah025,0.0,Original,id7_0008.mp4,0,1
ResNet_DFD_Obsah025,0.0,Original,id9_0001.mp4,0,1
ResNet_DFD_Obsah025,0.1,Fake,DFL_1_HQ.mp4,1,1
